idx,검색어,,,,
1454,,,,,
1455,Leptospermum Petersonii Oil,레몬향티트리오일,Leptospermum Petersonii Oil,착향제,
1456,Leptospermum Petersonii Oil,레몬향티트리오일,Leptospermum Petersonii Oil,착향제,
1457,,,,,
1458,,,,,
1459,Leucine,류신,Leucine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1460,,,,,
1461,Levulinic Acid,레불리닉애씨드,Levulinic Acid,"착향제, 피부컨디셔닝제(기타)",
1462,,,,,
1463,,,,,
1464,,,,,
1465,,,,,
1466,,,,,
1467,Limnanthes Alba Seed Oil,메도우폼씨오일,Limnanthes Alba (Meadowfoam) Seed Oil,수분증발차단제,
1468,Limonene,리모넨,Limonene,"착향제, 용제",
1469,Linum Usitatissimum Seed Oil,아마씨오일,Linum Usitatissimum (Linseed) Seed Oil,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
1470,Linalool,리날룰,Linalool,착향제,
1471,,,,,
1472,Linoleamidopropyl ethyldimonium ethosulfate,리놀레아미도프로필에틸다이모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate,"정전기방지제, 헤어컨디셔닝제",
1473,,,,,
1474,Linoleamidopropyl PG-Dimonium Chloride Phosphate Dimethicone,리놀레아미도프로필피지-다이모늄클로라이드포스페이트다이메티콘,Linoleamidopropyl PG-Dimonium Chloride Phosphate Dimethicone,헤어컨디셔닝제,
1475,Linoleic Acid,리놀레익애씨드,Linoleic Acid,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",
1476,,,,,
1477,Linolenic Acid,리놀레닉애씨드,Linolenic Acid,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",
1478,Linseed Acid,린씨드애씨드,Linseed Acid,계면활성제(세정제),
1479,Linum Usitatissimum Seed Oil,아마씨오일,Linum Usitatissimum (Linseed) Seed Oil,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
1480,,,,,
1481,Lipase,리파아제,Lipase,피부컨디셔닝제(기타),
1482,,,,,
1483,,,,,
1484,Paraffin,파라핀,Paraffin,"향료, 수분증발차단제, 점증제-비수용성",
1485,Litchi Chinensis Fruit Extract,리치추출물,Litchi Chinensis Fruit Extract,피부컨디셔닝제(기타),
1486,,,,,
1487,Lithospermum Erythrorhizon Root Extract,지치뿌리추출물,Lithospermum Erythrorhizon Root Extract,피부컨디셔닝제(기타),
1488,,,,,
1489,Litsea Cubeba Fruit Oil,리씨열매오일,Litsea Cubeba Fruit Oil,착향제,
1490,Lysine,라이신,Lysine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1491,,,,,
1492,Lonicera Caprifolium Flower Extract,허니서클꽃추출물,Lonicera Caprifolium (Honeysuckle) Flower Extract,피부컨디셔닝제(기타),
1493,Tartaric Acid,타타릭애씨드,Tartaric Acid,"향료, pH 조절제",
1494,,,,,
1495,,,,,
1496,Litchi Chinensis Fruit Extract,리치추출물,Litchi Chinensis Fruit Extract,피부컨디셔닝제(기타),
1497,Lysozyme,라이소자임,Lysozyme,피부컨디셔닝제(기타),
1498,,,,,
1499,Tyrosine,타이로신,Tyrosine,"향료, 모발컨디셔닝제, 피부컨디셔닝제",
1500,Ornithine HCL,오르니틴에이치씨엘,Ornithine HCL,헤어컨디셔닝제 피부컨디셔닝제(기타),
1501,Lonicera Japonica Flower Extract,인동덩굴꽃추출물,Lonicera Japonica (Honeysuckle) Flower Extract,피부컨디셔닝제(기타),
1502,Lonicera Japonica Flower Extract,인동덩굴꽃추출물,Lonicera Japonica (Honeysuckle) Flower Extract,피부컨디셔닝제(기타),
1503,Macadamia Ternifolia Seed Extract,마카다미아씨추출물,Macadamia Ternifolia Seed Extract,피부컨디셔닝제(기타),
1504,Macadamia Ternifolia Seed Oil,마카다미아씨오일,Macadamia Ternifolia Seed Oil,피부컨디셔닝제(수분차단제),
1505,Macadamia Integrifolia Seed Oil,퀸즈랜드넛오일,Macadamia Integrifolia Seed Oil,피부컨디셔닝제(수분차단제),
1506,,,,,
1507,,,,,
1508,Macrocystis Pyrifera Extract,자이언트켈프추출물,Macrocystis Pyrifera (Kelp) Extract,피부컨디셔닝제(기타),
1509,Madecassic Acid,마데카식애씨드,Madecassic Acid,피부컨디셔닝제(기타),
1510,Madecassoside,마데카소사이드,Madecassoside,"산화방지제, 피부보호제, 피부컨디셔닝제(기타)",
1511,,,,,
1512,Magnesium Aluminum Silicate,마그네슘알루미늄실리케이트,Magnesium Aluminum Silicate,"흡수제, 안티케이킹제, 미끄럼조정제/활택제, 점도증가제(수성)",
1513,,,,,
1514,,,,,
1515,,,,,
1516,Magnesium Laureth Sulfate,마그네슘라우레스설페이트,Magnesium Laureth Sulfate,계면활성제(세정제),
1517,,,,,
1518,,,,,
1519,Magnesium oxide,마그네슘옥사이드,Magnesium Oxide,"흡수제, pH 조정제",
1520,Magnesium stearate,마그네슘스테아레이트,Magnesium Stearate,"안티케이킹제, 벌킹제(증량제), 점도증가제(비수성)",
1521,Magnesium sulfate,마그네슘설페이트,Magnesium Sulfate,벌킹제(증량제),
1522,Magnesium Sulfate,마그네슘설페이트,Magnesium Sulfate,벌킹제(증량제),
1523,,,,,
1524,,,,,
1525,,,,,
1526,Melaleuca Alternifolia Leaf Oil,티트리잎오일,Melaleuca Alternifolia (Tea Tree) Leaf Oil,"산화방지제, 향료",
1527,Malic Acid,말릭애씨드,Malic Acid,"착향제, pH 조정제",
1528,,,,,
1529,Malva Sylvestris Flower Extract,당아욱꽃추출물,Malva Sylvestris (Mallow) Flower Extract,피부컨디셔닝제(기타),
1530,Malt Extract,맥아추출물,Malt Extract,"피부컨디셔닝제, 피부보호제",
1531,Malt Extract,맥아추출물,Malt Extract,"피부컨디셔닝제, 피부보호제",
1532,,,,,
1533,,,,,
1534,Maltodextrin,말토덱스트린,Maltodextrin,"흡수제, 결합제, 유화안정제, 피막형성제, 모발컨디셔닝제, 피부컨디셔닝제, 현탁화제(비계면활성)",
1535,,,,,
1536,,,,,
1537,,,,,
1538,,,,,
1539,,,,,
1540,,,,,
1541,,,,,
1542,,,,,
1543,Manganese sulfate,망가니즈설페이트,Manganese Sulfate,피부컨디셔닝제(기타),
1544,,,,,
1545,,,,,
1546,,,,,
1547,Mangifera Indica Seed Butter,망고씨버터,Mangifera Indica (Mango) Seed Butter,피부컨디셔닝제(수분차단제),
1548,Mannitol,만니톨,Mannitol,"결합제, 감미제, 보습제, 피부컨디셔닝제(보습제)",
1549,,,,,
1550,,,,,
1551,,,,,
1552,,,,,
1553,,,,,
1554,,,,,
1555,,,,,
1556,Marrubium vulgare extract,쓴박하추출물,Marrubium Vulgare Extract,향료,
1557,,,,,
1558,Althaea Officinalis Root Extract,마시멜로뿌리추출물,Althaea Officinalis Root Extract,피부컨디셔닝제(기타),
1559,,,,,
1560,,,,,
1561,Meadowfoam Delta-Lactone,메도우폼델타-락톤,Meadowfoam Delta-Lactone,"모발컨디셔닝제, 피부유연화제",
1562,,,,,
1563,Medicago Sativa Extract,자주개자리추출물,Medicago Sativa (Alfalfa) Extract,향료,
1564,Medicago Sativa Extract,자주개자리추출물,Medicago Sativa (Alfalfa) Extract,향료,
1565,,,,,
1566,,,,,
1567,Melaleuca Alternifolia Leaf Oil,티트리잎오일,Melaleuca Alternifolia (Tea Tree) Leaf Oil,"산화방지제, 향료",
1568,Melaleuca Alternifolia Leaf Oil,티트리잎오일,Melaleuca Alternifolia (Tea Tree) Leaf Oil,"산화방지제, 향료",
1569,Melaleuca Alternifolia Leaf Oil,티트리잎오일,Melaleuca Alternifolia (Tea Tree) Leaf Oil,"산화방지제, 향료",
1570,,,,,
1571,Melaleuca Quinquenervia Oil,멜라레우카 퀸퀘네르비아오일,Melaleuca Quinquenervia Oil,착향제,
1572,,,,,
1573,,,,,
1574,,,,,
1575,Melia Azadirachta Extract,인도멀구슬나무추출물,Melia Azadirachta Extract,피부컨디셔닝제(기타),
1576,,,,,
1577,,,,,
1578,,,,,
1579,Melissa Officinalis Extract,레몬밤추출물,Melissa Officinalis Extract,피부컨디셔닝제(기타),
1580,,,,,
1581,Cucumis Melo Fruit Extract,멜론추출물,Cucumis Melo (Melon) Fruit Extract,피부컨디셔닝제(기타),
1582,,,,,
1583,,,,,
1584,Mentha Piperita Extract,페퍼민트추출물,Mentha Piperita (Peppermint) Extract,피부컨디셔닝제(기타),
1585,,,,,
1586,Mentha Pulegium Oil,페니로얄민트오일,Mentha Pulegium Oil,착향제,
1587,,,,,
1588,Menthol,멘톨,Menthol,"변성제, 감미제, 착향제",
1589,,,,,
1590,Methionine,메티오닌,Methionine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1591,,,,,
1592,,,,,
1593,,,,,
1594,,,,,
1595,,,,,
1596,,,,,
1597,,,,,
1598,,,,,
1599,,,,,
1600,,,,,
1601,Methyl salicylate,메틸살리실레이트,Methyl Salicylate,"변성제, 감미제, 착향제",
1602,,,,,
1603,,,,,
1604,,,,,
1605,,,,,
1606,,,,,
1607,,,,,
1608,Methylisothiazolinone,메칠이소치아졸리논,Methylisothiazolinone,보존제,
1609,,,,,
1610,,,,,
1611,,,,,
1612,,,,,
1613,,,,,
1614,,,,,
1615,Methylchloroisothiazolinone,메칠클로로이소치아졸리논,Methylchloroisothiazolinone,보존제,
1616,,,,,
1617,,,,,
1618,Microcrystalline cellulose,마이크로크리스탈린셀룰로오스,Microcrystalline Cellulose,"연마제, 흡수제, 안티케이킹제, 벌킹제(증량제), 유화안정제, 미끄럼조정제/활택제, 점도증가제(수성)",
1619,Microcrystalline Wax,마이크로크리스탈린왁스,Microcrystalline Wax,"결합제, 벌킹제(증량제), 유화안정제, 점도증가제(비수성)",
1620,CI 77019/Mica,마이카,Mica,"착색제, 불투명화제",
1621,Michelia Alba Flower Oil,화이트참파카꽃오일,Michelia Alba Flower Oil,착향제,
1622,Milk Protein,우유단백질,Milk Protein,"모발컨디셔닝제, 피부컨디셔닝제",
1623,,,,,
1624,,,,,
1625,,,,,
1626,,,,,
1627,,,,,
1628,Mink Oil,밍크오일,Mink Oil,"모발컨디셔닝제, 수분증발차단제",
1629,,,,,
1630,,,,,
1631,,,,,
1632,,,,,
1633,,,,,
1634,,,,,
1635,,,,,
1636,Tocopherol,토코페롤,Tocopherol,"산화방지제, 착향제, 피부컨디셔닝제, 수분증발차단제",
1637,Cocamide DEA,코카마이드디이에이,Cocamide DEA,"계면활성제(거품촉진제), 점도증가제(수성)",
1638,,,,,
1639,,,,,
1640,,,,,
1641,,,,,
1642,,,,,
1643,,,,,
1644,Montmorillonite,몬모릴로나이트,Montmorillonite,"스크럽제, 흡수제, 벌킹제, 유화안정제, 불투명화제, 점증제-수용성",
1645,Moringa Oleifera Seed Extract,드럼스틱씨추출물,Moringa Oleifera Seed Extract,피부컨디셔닝제(기타),
1646,,,,,
1647,,,,,
1648,,,,,
1649,Morus Alba Root Extract,뽕나무뿌리추출물,Morus Alba Root Extract,"산화방지제, 수렴제, 피부유연화제, 보습제, 피부컨디셔닝제, 피부보호제",
1650,Verbascum Thapsus Extract,우단담배풀추출물,Verbascum Thapsus Extract,피부컨디셔닝제(기타),
1651,,,,,
1652,Musa Sapientum Fruit Extract,바나나추출물,Musa Sapientum (Banana) Fruit Extract,피부컨디셔닝제,
1653,,,,,
1654,,,,,
1655,,,,,
1656,,,,,
1657,,,,,
1658,Myristic acid,미리스틱애씨드,Myristic Acid,"향료, 불투명화제, 계면활성제-세정제",
1659,Myristyl Alcohol,미리스틸알코올,Myristyl Alcohol,"유화안정제, 향료, 피부유연화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",
1660,Myristyl Myristate,미리스틸미리스테이트,Myristyl Myristate,수분증발차단제,
1661,,,,,
1662,,,,,
1663,Myrtrimonium bromide,미르트라이모늄브로마이드,Myrtrimonium Bromide,"정전기방지제, 살균보존제",
1664,Sambucus Nigra Fruit Extract,엘더열매추출물,Sambucus Nigra Fruit Extract,피부컨디셔닝제(기타),
1665,,,,,
1666,,,,,
1667,,,,,
1668,,,,,
1669,,,,,
1670,,,,,
1671,,,,,
1672,,,,,
1673,,,,,
1674,Sodium Bicarbonate,소듐바이카보네이트,Sodium Bicarbonate,"스크럽제, pH 완충제, 탈취제, pH 조절제, 피부보호제",
1675,Nasturtium Officinale Extract,물냉이추출물,Nasturtium Officinale Extract,"향료, 피부컨디셔닝제",
1676,,,,,
1677,,,,,
1678,,,,,
1679,,,,,
1680,,,,,
1681,,,,,
1682,,,,,
1683,,,,,
1684,,,,,
1685,,,,,
1686,,,,,
1687,,,,,
1688,,,,,
1689,,,,,
1690,Nepeta Cataria Extract,개박하추출물,Nepeta Cataria Extract,착향제,
1691,Neohesperidin Dihydrochalcone,네오헤스페리딘다이하이드로칼콘,Neohesperidin Dihydrochalcone,"감미제, 착향제",
1692,,,,,
1693,,,,,
1694,,,,,
1695,,,,,
1696,,,,,
1697,,,,,
1698,,,,,
1699,,,,,
1700,,,,,
1701,,,,,
1702,Azadirachta Indica Seed Extract,님씨추출물,Azadirachta Indica Seed Extract,피부컨디셔닝제(기타),
1703,,,,,
1704,,,,,
1705,,,,,
1706,,,,,
1707,,,,,
1708,Niacin,나이아신,Niacin,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1709,Niacinamide,나이아신아마이드,Niacinamide,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1710,,,,,
1711,,,,,
1712,Nitrogen,질소,Nitrogen,분사제,
1713,,,,,
1714,,,,,
1715,,,,,
1716,,,,,
1717,,,,,
1718,,,,,
1719,,,,,
1720,,,,,
1721,,,,,
1722,Nonoxynol-9,노녹시놀-9,Nonoxynol-9,계면활성제(유화제),
1723,,,,,
1724,,,,,
1725,,,,,
1726,Oryza Sativa Bran Oil,쌀겨오일,Oryza Sativa (Rice) Bran Oil,수분증발차단제,
1727,Evernia Prunastri Extract,참나무이끼추출물,Evernia Prunastri (Oakmoss) Extract,착향제,
1728,,,,,
1729,Avena Sativa Kernel Extract,귀리커넬추출물,Avena Sativa (Oat) Kernel Extract,"산화방지제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
1730,Ethylhexyl Methoxycinnamate,에칠헥실메톡시신나메이트,Ethylhexyl Methoxycinnamate,"광안정화제, 자외선차단제",
1731,Avena Sativa Kernel Protein,귀리커넬단백질,Avena Sativa (Oat) Kernel Protein,"피막형성제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1732,Avena Sativa Kernel Meal,오트밀,Avena Sativa (Oat) Kernel Meal,"연마제, 흡수제, 벌킹제(증량제)",
1733,Avena Sativa Meal Extract,귀리가루추출물,Avena Sativa (Oat) Meal Extract,피부컨디셔닝제(기타),
1734,Octyldodecanol,옥틸도데칸올,Octyldodecanol,"향료, 피부유연화제, 용제",
1735,Ethylhexyl Methoxycinnamate,에칠헥실메톡시신나메이트,Ethylhexyl Methoxycinnamate,"광안정화제, 자외선차단제",
1736,,,,,
1737,,,,,
1738,Avena Sativa Kernel Protein,귀리커넬단백질,Avena Sativa (Oat) Kernel Protein,"피막형성제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1739,Octoxynol-9,옥톡시놀-9,Octoxynol-9,계면활성제-유화제,
1740,,,,,
1741,Octyldodecyl Myristate,옥틸도데실미리스테이트,Octyldodecyl Myristate,수분증발차단제,
1742,Octyldodecyl Lactate,옥틸도데실락테이트,Octyldodecyl Lactate,피부유연화제,
1743,,,,,
1744,Octoxynol-40,옥톡시놀-40,Octoxynol-40,"계면활성제(세정제), 계면활성제(용해보조제)",
1745,,,,,
1746,,,,,
1747,Oenothera Biennis Oil,달맞이꽃오일,Oenothera Biennis (Evening Primrose) Oil,피부컨디셔닝제,
1748,Oenothera Biennis (Evening Primrose) Flower Extract,달맞이꽃꽃추출물,Oenothera Biennis (Evening Primrose) Extract,수렴제,
1749,Oenothera Biennis Oil,달맞이꽃오일,Oenothera Biennis (Evening Primrose) Oil,피부컨디셔닝제,
1750,,,,,
1751,,,,,
1752,,,,,
1753,,,,,
1754,Olea Europaea Leaf Extract,올리브나무잎추출물,Olea Europaea (Olive) Leaf Extract,피부컨디셔닝제(기타),
1755,Olea Europaea Fruit Oil,올리브오일,Olea Europaea (Olive) Fruit Oil,착향제 피부컨디셔닝제(수분차단제),
1756,Ononis Spinosa Root Extract,레스트해로우뿌리추출물,Ononis Spinosa Root Extract,피부컨디셔닝제(기타),
1757,,,,,
1758,Oleth-20,올레스-20,Oleth-20,착향제 계면활성제(세정제) 계면활성제(유화제) 계면활성제(용해보조제),
1759,Oleth-10,올레스-10,Oleth-10,"향료, 계면활성제-유화제",
1760,Oleth-5,올레스-5,Oleth-5,"향료, 계면활성제-유화제",
1761,,,,,
1762,Oleyl alcohol,올레일알코올,Oleyl Alcohol,"향료, 피부유연화제, 용제, 점증제-비수용성",
1763,Boswellia Serrata Gum,보스웰리아검,Boswellia Serrata Gum,"점착제, 착향제, 피부컨디셔닝제(기타)",
1764,,,,,
1765,Oleic acid,올레익애씨드,Oleic Acid,"향료, 계면활성제-세정제",
1766,,,,,
1767,,,,,
1768,,,,,
1769,,,,,
1770,,,,,
1771,,,,,
1772,,,,,
1773,,,,,
1774,,,,,
1775,,,,,
1776,,,,,
1777,,,,,
1778,,,,,
1779,,,,,
1780,,,,,
1781,Oryza Sativa Starch,쌀전분,Oryza Sativa (Rice) Starch,"흡수제, 벌킹제",
1782,Oryzanol,오리자놀,Oryzanol,피부컨디셔닝제(기타),
1783,,,,,
1784,,,,,
1785,,,,,
1786,Ozokerite,오조케라이트,Ozokerite,"결합제, 유화안정제, 점증제-비수용성",
1787,Paeonia Lactiflora Extract,작약추출물,Paeonia Lactiflora Extract,수렴제,
1788,Paeonia Lactiflora Root Extract,작약뿌리추출물,Paeonia Lactiflora Root Extract,피부컨디셔닝제(기타),
1789,Paeonia Albiflora Flower Extract,작약꽃추출물,Paeonia Albiflora Flower Extract,피부컨디셔닝제(기타),
1790,Palm Kernel Glycerides,팜커넬글리세라이즈,Palm Kernel Glycerides,피부컨디셔닝제(유연제),
1791,Palm kernelamide DEA,팜커넬아마이드디이에이,Palm Kernelamide DEA,"계면활성제(거품촉진제), 점도증가제(수성)",
1792,,,,,
1793,,,,,
1794,,,,,
1795,Palmitic acid,팔미틱애씨드,Palmitic Acid,"향료, 불투명화제, 계면활성제-세정제, 계면활성제-유화제",
1796,,,,,
1797,,,,,
1798,Panthenol,판테놀,Panthenol,모발컨디셔닝제,
1799,Panthenyl Hydroxypropyl Steardimonium Chloride,판테닐하이드록시프로필스테아다이모늄클로라이드,Panthenyl Hydroxypropyl Steardimonium Chloride,헤어컨디셔닝제,
1800,,,,,
1801,Pantothenic Acid,판토테닉애씨드,Pantothenic Acid,모발컨디셔닝제,
1802,Papain,파파인,Papain,"모발컨디셔닝제, 용해제, 피부컨디셔닝제",
1803,Carica Papaya Fruit Extract,파파야열매추출물,Carica Papaya (Papaya) Fruit Extract,피부컨디셔닝제,
1804,Carica Papaya Leaf Extract,파파야잎추출물,Carica Papaya (Papaya) Leaf Extract,피부컨디셔닝제(기타),
1805,,,,,
1806,Chloroxylenol,클로로자일레놀,Chloroxylenol,"탈취제, 살균보존제",
1807,Calcium Pantothenate,칼슘판토테네이트,Calcium Pantothenate,모발컨디셔닝제,
1808,,,,,
1809,,,,,
1810,,,,,
1811,,,,,
1812,Parietaria Officinalis Extract,펠리토리추출물,Parietaria Officinalis Extract,피부컨디셔닝제,
1813,,,,,
1814,,,,,
1815,Passiflora Edulis Seed Oil,패션프룻씨오일,Passiflora Edulis Seed Oil,"피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제)",
1816,Passiflora Incarnata Fruit Extract,인카르나타시계꽃열매추출물,Passiflora Incarnata Fruit Extract,피부컨디셔닝제(기타),
1817,Passiflora Incarnata Extract,인카르나타시계꽃전초추출물,Passiflora Incarnata Extract,수렴제,
1818,,,,,
1819,,,,,
1820,,,,,
1821,,,,,
1822,,,,,
1823,,,,,
1824,PCA Ethyl Cocoyl Arginate,피씨에이에틸코코일알지네이트,PCA Ethyl Cocoyl Arginate,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1825,,,,,
1826,,,,,
1827,,,,,
1828,Perilla Ocymoides Leaf Extract,들깨잎추출물,Perilla Ocymoides Leaf Extract,피부컨디셔닝제(기타),
1829,,,,,
1830,,,,,
1831,,,,,
1832,,,,,
1833,PEG-16 Macadamia Glycerides,피이지-16마카다미아글리세라이즈,PEG-16 Macadamia Glycerides,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
1834,,,,,
1835,PEG-25 Hydrogenated Castor Oil,피이지-25하이드로제네이티드캐스터오일,PEG-25 Hydrogenated Castor Oil,"향료, 계면활성제-유화제",
1836,PEG-400,피이지-400,PEG-400,"결합제, 유화안정제, 용제",
1837,,,,,
1838,PEG/PPG-18/18 Dimethicone,피이지/피피지-18/18다이메티콘,PEG/PPG-18/18 Dimethicone,계면활성제(유화제),
1839,PEG/PPG-20/6 Dimethicone,피이지/피피지-20/6다이메티콘,PEG/PPG-20/6 Dimethicone,계면활성제(유화제),
1840,PEG-100 Stearate,피이지-100스테아레이트,PEG-100 Stearate,계면활성제-세정제,
1841,PPG-12 Dimethicone,피피지-12다이메티콘,PPG-12 Dimethicone,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",
1842,PEG-12 Dimethicone,피이지-12다이메티콘,PEG-12 Dimethicone,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
1843,PEG-120 Methyl Glucose Dioleate,피이지-120메틸글루코스디올리에이트,PEG-120 Methyl Glucose Dioleate,계면활성제(세정제),
1844,,,,,
1845,PEG-120 STEARATE,피이지-120스테아레이트,PEG-120 Stearate,계면활성제(세정제),
1846,,,,,
1847,,,,,
1848,PEG-14M,피이지-14M,PEG-14M,"결합제, 유화안정제, 점증제-수용성",
1849,PEG-15 Cocopolyamine,피이지-15코코폴리아민,PEG-15 Cocopolyamine,"정전기방지제, 계면활성제-유화제",
1850,PEG-150,피이지-150,PEG-150,"결합제, 보습제, 용제",
1851,PEG-150 Distearate,피이지-150다이스테아레이트,PEG-150 Distearate,"계면활성제(세정제), 계면활성제(용해보조제)",
1852,PEG-150 Pentaerythrityl Tetrastearate,피이지-150펜타에리스리틸테트라스테아레이트,PEG-150 Pentaerythrityl Tetrastearate,계면활성제-유화제,
1853,PEG-18 Glyceryl Oleate/Cocoate,피이지-18글리세릴올리에이트/코코에이트,PEG-18 Glyceryl Oleate/Cocoate,계면활성제-유화제,
1854,PEG-20 Castor Oil,피이지-20캐스터오일,PEG-20 Castor Oil,계면활성제-유화제,
1855,PEG-20 Stearate,피이지-20스테아레이트,PEG-20 Stearate,"계면활성제-세정제, 계면활성제-유화제, 계면활성제-용해보조제",
1856,PEG-23 stearate,피이지-23스테아레이트,PEG-23 Stearate,"계면활성제-세정제, 계면활성제-용해보조제",
1857,PEG-3 Distearate,피이지-3다이스테아레이트,PEG-3 Distearate,계면활성제(유화제),
1858,PEG-30 Dipolyhydroxystearate,피이지-30다이폴리하이드록시스테아레이트,PEG-30 Dipolyhydroxystearate,계면활성제(유화제),
1859,PEG-40 Castor Oil,피이지-40캐스터오일,PEG-40 Castor Oil,"계면활성제-세정제, 계면활성제-용해보조제",
1860,PEG-40 Hydrogenated Castor Oil,피이지-40하이드로제네이티드캐스터오일,PEG-40 Hydrogenated Castor Oil,"향료, 계면활성제-유화제, 계면활성제-용해보조제",
1861,,,,,
1862,PEG-45 palm kernel glycerides,피이지-45팜커넬글리세라이즈,PEG-45 Palm Kernel Glycerides,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
1863,,,,,
1864,PEG-45M,피이지-45M,PEG-45M,"결합제, 유화안정제, 점증제-수용성",
1865,,,,,
1866,PEG-55 Stearate,피이지-55스테아레이트,PEG-55 Stearate,계면활성제-세정제,
1867,,,,,
1868,PEG-6 Undecylenate,피이지-6운데실레네이트,PEG-6 Undecylenate,"피부컨디셔닝제(기타), 계면활성제(유화제)",
1869,PEG-60 Almond Glycerides,피이지-60아몬드글리세라이즈,PEG-60 Almond Glycerides,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
1870,PEG-60 Hydrogenated Castor Oil,피이지-60하이드로제네이티드캐스터오일,PEG-60 Hydrogenated Castor Oil,"향료, 계면활성제-세정제, 계면활성제-용해보조제",
1871,,,,,
1872,PEG-7 Glyceryl Cocoate,피이지-7글리세릴코코에이트,PEG-7 Glyceryl Cocoate,"피부유연화제, 계면활성제-유화제",
1873,PEG-75,피이지-75,PEG-75,"결합제, 보습제, 용제",
1874,PEG-75 Lanolin,피이지-75라놀린,PEG-75 Lanolin,계면활성제-세정제,
1875,PEG-8,피이지-8,PEG-8,"보습제, 용제",
1876,,,,,
1877,PEG-8 Laurate,피이지-8라우레이트,PEG-8 Laurate,계면활성제-유화제,
1878,PEG-8 Stearate,피이지-8스테아레이트,PEG-8 Stearate,계면활성제-유화제,
1879,PEG-80 Sorbitan Laurate,피이지-80솔비탄라우레이트,PEG-80 Sorbitan Laurate,"착향제, 계면활성제(세정제), 계면활성제(용해보조제)",
1880,PEG-90 Glyceryl Isostearate,피이지-90글리세릴아이소스테아레이트,PEG-90 Glyceryl Isostearate,계면활성제(세정제),
1881,,,,,
1882,Pelargonium Graveolens Extract,센티드제라늄추출물,Pelargonium Graveolens Extract,"향료, 피부유연화제",
1883,Pelargonium Graveolens Flower Oil,센티드제라늄꽃오일,Pelargonium Graveolens Flower Oil,향료,
1884,,,,,
1885,,,,,
1886,Pelvetia Canaliculata Extract,채널드랙추출물,Pelvetia Canaliculata Extract,피부컨디셔닝제(기타),
1887,Mentha Pulegium Oil,페니로얄민트오일,Mentha Pulegium Oil,착향제,
1888,,,,,
1889,Pentaerythrityl Tetracocoate,펜타에리스리틸테트라코코에이트,Pentaerythrityl Tetracocoate,"결합제, 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
1890,Pentylene Glycol,펜틸렌글라이콜,Pentylene Glycol,"피부컨디셔닝제, 용제",
1891,Paeonia Lactiflora Extract,작약추출물,Paeonia Lactiflora Extract,수렴제,
1892,Mentha Piperita Extract,페퍼민트추출물,Mentha Piperita (Peppermint) Extract,피부컨디셔닝제(기타),
1893,Mentha Piperita Oil,페퍼민트오일,Mentha Piperita (Peppermint) Oil,"향료, 피부컨디셔닝제",
1894,,,,,
1895,,,,,
1896,,,,,
1897,,,,,
1898,,,,,
1899,,,,,
1900,Persea Gratissima Oil,아보카도오일,Persea Gratissima (Avocado) Oil,피부컨디셔닝제(수분차단제),
1901,Persea Gratissima Fruit Extract,아보카도열매추출물,Persea Gratissima (Avocado) Fruit Extract,피부컨디셔닝제(기타),
1902,Persea Gratissima Oil,아보카도오일,Persea Gratissima (Avocado) Oil,피부컨디셔닝제(수분차단제),
1903,,,,,
1904,,,,,
1905,Petrolatum,페트롤라툼,Petrolatum,"모발컨디셔닝제, 수분증발차단제, 피부보호제",
1906,Petroleum Distillates,페트롤레움다이스틸레이트,Petroleum Distillates,"기포방지제, 용제",
1907,,,,,
1908,,,,,
1909,Phellodendron Amurense Bark Extract,황벽나무껍질추출물,Phellodendron Amurense Bark Extract,피부컨디셔닝제(기타),
1910,Phellodendron Amurense Bark Extract,황벽나무껍질추출물,Phellodendron Amurense Bark Extract,피부컨디셔닝제(기타),
1911,,,,,
1912,Phenoxyethanol,페녹시에탄올,Phenoxyethanol,"착향제, 보존제",
1913,,,,,
1914,,,,,
1915,,,,,
1916,,,,,
1917,Phenyl Trimethicone,페닐트라이메티콘,Phenyl Trimethicone,"기포방지제, 모발컨디셔닝제, 수분증발차단제",
