idx,검색어,,,,
86,Agar,아가,Agar,"결합제, 향료, 점증제-수용성",
87,,,,,
88,,,,,
89,Alanine,알라닌,Alanine,"향료, 모발컨디셔닝제, 피부컨디셔닝제",
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,Medicago Sativa Extract,자주개자리추출물,Medicago Sativa (Alfalfa) Extract,향료,
95,Algae Extract,조류추출물,Algae Extract,"착향제, 보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
96,Algae Extract,조류추출물,Algae Extract,"착향제, 보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
97,,,,,
98,Alkanna Tinctoria Root Extract,알칸나뿌리추출물,Alkanna Tinctoria Root Extract,피부컨디셔닝제,
99,Benzalkonium chloride,벤잘코늄클로라이드,Benzalkonium Chloride,"정전기방지제, 보존제, 탈취제, 계면활성제(현탁화제)",
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,Allantoin,알란토인,Allantoin,"피부컨디셔닝제, 피부보호제",
106,Allium Cepa Bulb Extract,양파추출물,Allium Cepa (Onion) Bulb Extract,피부컨디셔닝제(기타),
107,Allium Sativum Bulb Extract,마늘추출물,Allium Sativum (Garlic) Bulb Extract,피부컨디셔닝제(기타),
108,Prunus Amygdalus Dulcis Fruit Extract,스위트아몬드열매추출물,Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract,"모발컨디셔닝제, 피부컨디셔닝제",
109,,,,,
110,Prunus Amygdalus Dulcis Oil,스위트아몬드오일,Prunus Amygdalus Dulcis (Sweet Almond) Oil,"향료, 피부컨디셔닝제, 수분증발차단제",
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,Aloe Barbadensis Flower Extract,알로에베라꽃추출물,Aloe Barbadensis Flower Extract,피부컨디셔닝제,
117,,,,,
118,Aloe Barbadensis Leaf,알로에베라잎,Aloe Barbadensis Leaf,향료,
119,Aloe Barbadensis Leaf Extract,알로에베라잎추출물,Aloe Barbadensis Leaf Extract,"보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 산화방지제, 피부컨디셔닝제(보습제)",
120,,,,,
121,,,,,
122,Aloe Barbadensis Leaf Juice Powder,알로에베라잎즙가루,Aloe Barbadensis Leaf Juice Powder,피부컨디셔닝제,
123,,,,,
124,Aloe Barbadensis Leaf Juice Powder,알로에베라잎즙가루,Aloe Barbadensis Leaf Juice Powder,피부컨디셔닝제,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,Lactic Acid,락틱애씨드,Lactic Acid,"착향제, 보습제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타), pH 조정제",
130,Arnica Montana Flower,아르니카 몬타나꽃,Arnica Montana Flower,피부컨디셔닝제(기타),
131,,,,,
132,Althaea Officinalis Root Extract,마시멜로뿌리추출물,Althaea Officinalis Root Extract,피부컨디셔닝제(기타),
133,Alpha-Isomethyl Ionone,알파-아이소메틸아이오논,Alpha-Isomethyl Ionone,"착향제, 피부컨디셔닝제(기타)",
134,Actinidia Chinensis Fruit,키위,Actinidia Chinensis (Kiwi) Fruit,피부컨디셔닝제(기타),
135,Aluminum Chlorohydrate,알루미늄클로로하이드레이트,Aluminum Chlorohydrate,수렴제,
136,Aluminum Silicate,알루미늄실리케이트,Aluminum Silicate,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 미끄럼개선제",
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,Aminomethyl Propanol,아미노메틸프로판올,Aminomethyl Propanol,pH 조절제,
146,Phyllanthus Emblica Extract,인디안구스베리추출물,Phyllanthus Emblica Extract,피부컨디셔닝제(기타),
147,Amyl Cinnamal,아밀신남알,Amyl Cinnamal,착향제,
148,Ammonia,암모니아,Ammonia,"착향제, pH 조절제",
149,,,,,
150,Ammonium Chloride,암모늄클로라이드,Ammonium Chloride,"향료, 점증제-수용성",
151,,,,,
152,Ammonium Hydroxide,암모늄하이드록사이드,Ammonium Hydroxide,"변성제, pH 조절제",
153,Ammonium Laureth Sulfate,암모늄라우레스설페이트,Ammonium Laureth Sulfate,계면활성제-세정제,
154,Ammonium Lauryl Sulfate,암모늄라우릴설페이트,Ammonium Lauryl Sulfate,계면활성제-세정제,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,Amodimethicone,아모다이메티콘,Amodimethicone,헤어컨디셔닝제,
162,,,,,
163,,,,,
164,Amodimethicone/Silsesquioxane Copolymer,아모다이메티콘/실세스퀴옥세인코폴리머,Amodimethicone/Silsesquioxane Copolymer,"피막형성제, 헤어컨디셔닝제, 모발고정제",
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,Carapa Guaianensis Seed Oil,안디로바씨오일,Carapa Guaianensis Seed Oil,"변성제, 피부컨디셔닝제",
170,Angelica Acutiloba Root Extract,왜당귀뿌리추출물,Angelica Acutiloba Root Extract,피부컨디셔닝제(기타),
171,Angelica Polymorpha Sinensis Root Extract,중국당귀뿌리추출물,Angelica Polymorpha Sinensis Root Extract,피부컨디셔닝제(유연제),
172,,,,,
173,,,,,
174,Alpha-Glucan Oligosaccharide,알파-글루칸올리고사카라이드,Alpha-Glucan Oligosaccharide,피부컨디셔닝제,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,Anthemis Nobilis Flower Extract,캐모마일꽃추출물,Anthemis Nobilis Flower Extract,"향료, 피부컨디셔닝제, 수분증발차단제",
180,,,,,
181,Chamomilla Recutita Flower Extract,마트리카리아꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,Prunus Armeniaca Fruit Extract,살구추출물,Prunus Armeniaca (Apricot) Fruit Extract,피부컨디셔닝제(기타),
193,,,,,
194,Aspartic Acid,아스파틱애씨드,Aspartic Acid,"향료, 모발컨디셔닝제, 피부컨디셔닝제",
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,Avena Sativa Meal Extract,귀리가루추출물,Avena Sativa (Oat) Meal Extract,피부컨디셔닝제(기타),
200,,,,,
201,Acacia Senegal Gum,아라비아고무나무검,Acacia Senegal Gum,"점착제, 착향제",
202,Arachis Hypogaea Oil,땅콩오일,Arachis Hypogaea (Peanut) Oil,피부컨디셔닝제(수분차단제),
203,Argania Spinosa Kernel Oil,아르간커넬오일,Argania Spinosa Kernel Oil,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
204,Arginine,알지닌,Arginine,"향료, 모발컨디셔닝제, 스킨컨디셔닝제",
205,Arginine HCl,알지닌에이치씨엘,Arginine HCl,피부컨디셔닝제,
206,Arnica Montana Flower,아르니카 몬타나꽃,Arnica Montana Flower,피부컨디셔닝제(기타),
207,Argania Spinosa Kernel Oil,아르간커넬오일,Argania Spinosa Kernel Oil,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
208,Arnica Montana Flower Extract,아르니카 몬타나꽃추출물,Arnica Montana Flower Extract,"착향제, 피부컨디셔닝제(기타)",
209,,,,,
210,,,,,
211,Artemisia Annua Extract,개똥쑥추출물,Artemisia Annua Extract,착향제,
212,,,,,
213,Artemisia Princeps Leaf Extract,쑥잎추출물,Artemisia Princeps Leaf Extract,피부컨디셔닝제(기타),
214,Cynara Scolymus Leaf Extract,아티초크잎추출물,Cynara Scolymus (Artichoke) Leaf Extract,피부컨디셔닝제(기타),
215,,,,,
216,Ascorbyl Palmitate,아스코빌팔미테이트,Ascorbyl Palmitate,"산화방지제, 향료",
217,Asiatic Acid,아시아틱애씨드,Asiatic Acid,피부컨디셔닝제,
218,Asiaticoside,아시아티코사이드,Asiaticoside,"산화방지제, 피부컨디셔닝제",
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,Avena Sativa Meal Extract,귀리가루추출물,Avena Sativa (Oat) Meal Extract,피부컨디셔닝제(기타),
226,Avena Sativa Kernel Extract,귀리커넬추출물,Avena Sativa (Oat) Kernel Extract,"산화방지제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
227,Avena Sativa Kernel Oil,귀리커넬오일,Avena Sativa (Oat) Kernel Oil,피부컨디셔닝제(수분차단제),
228,,,,,
229,,,,,
230,Zingiber Zerumbet Extract,아와푸히추출물,Zingiber Zerumbet Extract,피부컨디셔닝제(기타),
231,Azadirachta Indica Seed Extract,님씨추출물,Azadirachta Indica Seed Extract,피부컨디셔닝제(기타),
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,Backhousia Anisata Leaf Extract,아니시드머틀리프추출물,Backhousia Anisata Leaf Extract,"헤어컨디셔닝제, 피부컨디셔닝제(보습제)",
241,Backhousia Anisata Leaf Extract,아니시드머틀리프추출물,Backhousia Anisata Leaf Extract,"헤어컨디셔닝제, 피부컨디셔닝제(보습제)",
242,,,,,
243,,,,,
244,Bambusa Vulgaris Extract,밤부사 불가리스추출물,Bambusa Vulgaris Extract,피부컨디셔닝제(기타),
245,Bambusa Vulgaris Extract,밤부사 불가리스추출물,Bambusa Vulgaris Extract,피부컨디셔닝제(기타),
246,CI 77004/Bentonite,벤토나이트,Bentonite,"흡수제, 벌킹제(증량제), 유화안정제, 점도증가제(수성)",
247,Bambusa Vulgaris Water,밤부사 불가리스수,Bambusa Vulgaris Water,피부컨디셔닝제(기타),
248,Musa Sapientum Fruit Extract,바나나추출물,Musa Sapientum (Banana) Fruit Extract,피부컨디셔닝제,
249,,,,,
250,,,,,
251,Ocimum Basilicum Oil,바질오일,Ocimum Basilicum (Basil) Oil,"착향제, 피부컨디셔닝제(기타)",
252,Pimenta Acris Leaf Oil,베이잎오일,Pimenta Acris (Bay) Leaf Oil,향료,
253,,,,,
254,Behentrimonium Chloride,베헨트라이모늄클로라이드,Behentrimonium Chloride,"정전기방지제, 헤어컨디셔닝제, 살균보존제",
255,Behentrimonium Methosulfate,베헨트라이모늄메토설페이트,Behentrimonium Methosulfate,"정전기방지제, 헤어컨디셔닝제",
256,Benzalkonium Chloride,벤잘코늄클로라이드,Benzalkonium Chloride,"정전기방지제, 보존제, 탈취제, 계면활성제(현탁화제)",
257,Benzethonium Chloride,벤제토늄클로라이드,Benzethonium Chloride,"살균보존제, 탈취제, 계면활성제-현탁화제",
258,Benzisothiazolinone,벤즈아이소티아졸리논,Benzisothiazolinone,살균보존제,
259,Benzoic Acid,벤조익애씨드,Benzoic Acid,"착향제, pH 조절제, 보존제",
260,,,,,
261,Benzophenone,벤조페논,Benzophenone,"착향제, 광안정화제",
262,Benzophenone-3,벤조페논-3,Benzophenone-3,"자외선차단(기능성화장품), 변색방지제",
263,Benzophenone-4,벤조페논-4,Benzophenone-4,"자외선차단(기능성화장품), 변색방지제",
264,Benzophenone-5,벤조페논-5,Benzophenone-5,변색방지제,
265,Benzophenone-9,벤조페논-9,Benzophenone-9,변색방지제,
266,,,,,
267,Benzyl Acetate,벤질아세테이트,Benzyl Acetate,향료,
268,Benzyl Alcohol,벤질알코올,Benzyl Alcohol,"착향제, 보존제, 용제, 점도감소제",
269,Benzyl Benzoate,벤질벤조에이트,Benzyl Benzoate,"착향제, 용제",
270,,,,,
271,Benzyl Salicylate,벤질살리실레이트,Benzyl Salicylate,"착향제, 변색방지제",
272,Citrus Aurantium Bergamia Fruit Oil,베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,착향제,
273,Citrus Aurantium Bergamia Fruit Oil,베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,착향제,
274,Bertholletia Excelsa Seed Oil,브라질넛씨오일,Bertholletia Excelsa Seed Oil,피부유연화제,
275,Bertholletia Excelsa Seed Oil,브라질넛씨오일,Bertholletia Excelsa Seed Oil,피부유연화제,
276,,,,,
277,,,,,
278,Beta-Carotene,베타-카로틴,Beta-Carotene,"착색제, 피부컨디셔닝제",
279,Beta-Caryophyllene,베타-카리오필렌,Beta-Caryophyllene,"향료, 피부컨디셔닝제",
280,Cyclodextrin,사이클로덱스트린,Cyclodextrin,"흡수제, 금속이온봉쇄제",
281,Glucose,글루코오스,Glucose,"감미제, 보습제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",
282,Beta-Glucan,베타-글루칸,Beta-Glucan,"벌킹제, 피부컨디셔닝제",
283,,,,,
284,,,,,
285,Betaine,베타인,Betaine,"모발컨디셔닝제, 보습제, 피부보습제",
286,,,,,
287,Betula Alba Bark Extract,만주자작나무껍질추출물,Betula Alba Bark Extract,착향제,
288,Betula Alba Bark Extract,만주자작나무껍질추출물,Betula Alba Bark Extract,착향제,
289,Betula Alba Leaf Extract,만주자작나무잎추출물,Betula Alba Leaf Extract,"수렴제, 착향제, 피부컨디셔닝제(기타)",
290,Betula Platyphylla Japonica Juice,자작나무수액,Betula Platyphylla Japonica Juice,피부컨디셔닝제(기타),
291,BHA,비에이치에이,BHA,"산화방지제, 향료",
292,BHT,비에이치티,BHT,"산화방지제, 착향제",
293,,,,,
294,,,,,
295,,,,,
296,Biosaccharide Gum-4,바이오사카라이드검-4,Biosaccharide Gum-4,피부컨디셔닝제,
297,,,,,
298,,,,,
299,Biotin,바이오틴,Biotin,"모발컨디셔닝제, 피부컨디셔닝제",
300,Betula Alba Bark Extract,만주자작나무껍질추출물,Betula Alba Bark Extract,착향제,
301,,,,,
302,Bisabolol,비사보롤,Bisabolol,"향료, 피부컨디셔닝제",
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,Bis-Diglyceryl Polyacyladipate-2,비스-다이글리세릴폴리아실아디페이트-2,Bis-Diglyceryl Polyacyladipate-2,피부컨디셔닝제(유연제),
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,Piper Nigrum Fruit Oil,후추열매오일,Piper Nigrum (Pepper) Fruit Oil,착향제,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,Vaccinium Angustifolium Fruit,로우스위트블루베리,Vaccinium Angustifolium (Blueberry) Fruit,"수렴제, 피부컨디셔닝제(기타)",
326,,,,,
327,,,,,
328,,,,,
329,Borago Officinalis Extract,보리지추출물,Borago Officinalis Extract,"산화방지제, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제",
330,Borago Officinalis Seed Oil,보리지씨오일,Borago Officinalis Seed Oil,피부유연화제,
331,,,,,
332,,,,,
333,,,,,
334,Borneol,보르네올,Borneol,향료,
335,,,,,
336,,,,,
337,,,,,
338,Boswellia Serrata Extract,보스웰리아추출물,Boswellia Serrata Extract,피부컨디셔닝제(기타),
339,Boswellia Serrata Gum,보스웰리아검,Boswellia Serrata Gum,"점착제, 착향제, 피부컨디셔닝제(기타)",
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,Brassica Nigra Seed Extract,흑겨자씨추출물,Brassica Nigra Seed Extract,피부컨디셔닝제(기타),
348,,,,,
349,Bromelain,브로멜라인,Bromelain,"용해제, 피부컨디셔닝제",
350,Broussonetia Kazinoki Root Extract,닥나무뿌리추출물,Broussonetia Kazinoki Root Extract,피부컨디셔닝제(기타),
351,,,,,
352,,,,,
353,,,,,
354,Butane,부탄,Butane,분사제,
355,Butyl Ester of PVM/MA Copolymer,피브이엠/엠에이코폴리머부틸에스터,Butyl Ester of PVM/MA Copolymer,"결합제, 피막형성제, 모발고정제",
356,Butyl Methoxydibenzoylmethane,부틸메톡시디벤조일메탄,Butyl Methoxydibenzoylmethane,"자외선차단(기능성화장품), 변색방지제",
357,,,,,
358,,,,,
359,,,,,
360,BHT,비에이치티,BHT,"산화방지제, 착향제",
361,Butylene Glycol,부틸렌글라이콜,Butylene Glycol,"향료, 피부컨디셔닝제, 용제, 점도감소제",
362,,,,,
363,Butylphenyl Methylpropional,부틸페닐메틸프로피오날,Butylphenyl Methylpropional,착향제,
364,Butyrospermum Parkii Oil,시어버터오일,Butyrospermum Parkii (Shea) Oil,피부컨디셔닝제(수분차단제),
365,Butyrospermum Parkii Butter,시어버터,Butyrospermum Parkii (Shea) Butter,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
366,,,,,
367,,,,,
